"initial_alias","converted_alias","name","description","namespace"
"CREBBP","ENSG00000005339","CREBBP","CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APC","ENSG00000134982","APC","APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RUNX1","ENSG00000159216","RUNX1","RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTM1","ENSG00000171100","MTM1","myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGL","ENSG00000162688","AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"JAK2","ENSG00000096968","JAK2","Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALK","ENSG00000171094","ALK","ALK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:427]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GAA","ENSG00000171298","GAA","alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRIN2A","ENSG00000183454","GRIN2A","glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDH1","ENSG00000039068","CDH1","cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA4","ENSG00000198691","ABCA4","ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAT1","ENSG00000083857","FAT1","FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LDLR","ENSG00000130164","LDLR","low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]","DBASS3,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MEN1","ENSG00000133895","MEN1","menin 1 [Source:HGNC Symbol;Acc:HGNC:7010]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATR","ENSG00000175054","ATR","ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PBRM1","ENSG00000163939","PBRM1","polybromo 1 [Source:HGNC Symbol;Acc:HGNC:30064]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPEN","ENSG00000065526","SPEN","spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYO7A","ENSG00000137474","MYO7A","myosin VIIA [Source:HGNC Symbol;Acc:HGNC:7606]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTPRD","ENSG00000153707","PTPRD","protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FH","ENSG00000091483","FH","fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDKN1B","ENSG00000111276","CDKN1B","cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMARCA4","ENSG00000127616","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FLG","ENSG00000143631","FLG","filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PAH","ENSG00000171759","PAH","phenylalanine hydroxylase [Source:HGNC Symbol;Acc:HGNC:8582]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COL1A1","ENSG00000108821","COL1A1","collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNAH5","ENSG00000039139","DNAH5","dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCOR1","ENSG00000141027","NCOR1","nuclear receptor corepressor 1 [Source:HGNC Symbol;Acc:HGNC:7672]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MSH6","ENSG00000116062","MSH6","mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"B2M","ENSG00000166710","B2M","beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD50","ENSG00000113522","RAD50","RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHEK2","ENSG00000183765","CHEK2","checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SDHA","ENSG00000073578","SDHA","succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRIP1","ENSG00000136492","BRIP1","BRCA1 interacting helicase 1 [Source:HGNC Symbol;Acc:HGNC:20473]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KMT2C","ENSG00000055609","KMT2C","lysine methyltransferase 2C [Source:HGNC Symbol;Acc:HGNC:13726]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MLH1","ENSG00000076242","MLH1","mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
