gene_symbol,n_ptc_triggering,n_ptc_evading,n_syn_triggering,n_syn_evading,n_variants,log_odds,se_log_or,ci_lower,ci_upper,z_score,p_value,p_value_fdr
CYLD,26.0,6.0,72,21,32.0,0.1898089293635732,0.5018831878614886,-0.7938640432910944,1.1734819020182408,0.37819344013563033,0.705286898232541,0.8074766681255613
DDX3X,20.0,6.0,49,3,26.0,-1.5005869918365056,0.7131219724334245,-2.8982803743901826,-0.10289360928282831,-2.1042501140667027,0.035356635133365566,0.12123706335328273
DNM2,14.0,1.0,189,14,15.0,-0.301556833777588,0.8999304117565461,-2.06538802941272,1.4622743618575436,-0.335089057818358,0.7375579067920928,0.8297526451411044
DNMT3A,28.0,6.0,150,29,34.0,-0.15147091047014283,0.47903726003471847,-1.0903666873909397,0.787424866450654,-0.3161985989548389,0.7518517711100698,0.8399999097919401
EED,16.0,5.0,19,13,21.0,0.7308875085427924,0.6064489820095074,-0.45773065465682117,1.919505671742406,1.2051920775280223,0.22812916009453799,0.42412519026754864
ELF3,20.0,8.0,39,13,28.0,-0.1932522638146007,0.5155754807966376,-1.2037616374879327,0.8172571098587312,-0.3748282666894834,0.7077881905791957,0.8074766681255613
EMG1,4.0,0.0,8,7,4.0,2.0720614343822135,1.5726419218560483,-1.0102600930334953,5.154382961797922,1.317567213225974,0.1876485672070305,0.37673496635110276
EP300,70.0,26.0,80,84,96.0,1.026962326764657,0.2760016775217114,0.4860089791494645,1.5679156743798495,3.7208553802498976,0.00019854912213302194,0.0018920563403264446
EPHA2,29.0,6.0,106,54,35.0,0.842643802963901,0.4642012000691219,-0.06717383075185002,1.7524614366796518,1.8152555461692623,0.06948464708576883,0.19748268119113246
ERCC3,15.0,0.0,76,14,15.0,1.770845113079185,1.4651121259816513,-1.1007218871577622,4.642412113316132,1.2086754874768968,0.22678754258192113,0.42412519026754864
ERCC4,7.0,6.0,21,69,13.0,1.3163746610778029,0.5899827152511309,0.16002978768443632,2.472719534471169,2.2312088592586603,0.02566729741499998,0.10395255453074992
ERCC5,10.0,13.0,69,62,23.0,-0.35747462410929653,0.446878796230927,-1.2333409701765272,0.518391721957934,-0.799936419280385,0.42374763569843066,0.6074966104703164
ETNK1,11.0,3.0,25,16,14.0,0.754265995615991,0.6873809382969436,-0.5929758871053676,2.1015078783373493,1.0973042073071766,0.27250843231997157,0.46469858985089885
EXT2,9.0,2.0,57,40,11.0,0.9845180930415289,0.7398282370031941,-0.4655186062304948,2.434554792313553,1.330738736101091,0.18327499250522705,0.37673496635110276
FANCE,3.0,4.0,14,22,7.0,0.1880522315029396,0.7882553327585748,-1.356899831325503,1.7330042943313821,0.23856766162917395,0.8114408434041159,0.8822376955131999
FANCG,10.0,1.0,41,7,11.0,0.23511974236092525,0.9588193160237563,-1.6441315847269653,2.114371069448816,0.2452179867797947,0.8062876500488334,0.8822376955131999
FAS,0.0,10.0,17,18,10.0,-2.988952586568612,1.4854073537030192,-5.900297502197479,-0.07760767093974508,-2.0122107104945703,0.04419772993983745,0.14039278922066015
FAT1,80.0,97.0,161,457,177.0,0.849676548473581,0.1762285825823397,0.5042748735656525,1.1950782233815094,4.821445738386874,1.425214911665952e-06,2.5653868409987136e-05
FBLN2,13.0,7.0,141,125,20.0,0.4677927063906653,0.47163828587873835,-0.4566013476618679,1.3921867604431983,0.9918463373241463,0.32127248976443845,0.5257186196145356
FBXW7,107.0,54.0,28,30,161.0,0.7471127422372802,0.3090720854084911,0.14134258620995,1.3528828982646104,2.4172766726889754,0.015637126325242504,0.07450630778497899
FH,15.0,2.0,45,12,17.0,0.5325656104023966,0.7526580571616037,-0.942617074308236,2.0077482951130294,0.7075797639246544,0.4792062631214349,0.6415819390551442
FLCN,16.0,7.0,47,14,23.0,-0.3981237012497967,0.5328766674941967,-1.442542777740148,0.6462953752405547,-0.7471216616068717,0.45499012572325814,0.6194852709913399
FUBP1,26.0,0.0,40,15,26.0,3.0098299633648296,1.458404380174975,0.15140990332641735,5.868250023403242,2.0637828604188084,0.039038308851289234,0.12906542926344605
GATA3,3.0,9.0,41,123,12.0,0.09201889872025193,0.6505159453411531,-1.1829689255174345,1.3670067229579383,0.14145525467787579,0.8875103061261113,0.9361841609801306
GRIN2A,18.0,25.0,140,326,43.0,0.5223147398625838,0.3216363866033783,-0.10808099399763871,1.1527104737228062,1.6239292617929744,0.1043909065743934,0.2638126643349909
HLA-A,49.0,13.0,446,84,62.0,-0.36540488182316455,0.3291656960560385,-1.0105577910390582,0.2797480273927291,-1.1100940535460795,0.26695849939280125,0.46469858985089885
HLA-B,57.0,11.0,1001,39,68.0,-1.6235155707646962,0.361473075110428,-2.3319897793620767,-0.9150413621673156,-4.491387277651929,7.076074855604715e-06,8.817877896984338e-05
HNF1A,7.0,1.0,95,19,8.0,0.020726130517116914,0.9283066602532446,-1.7987214901879025,1.8401737512221363,0.022326814407927192,0.9821872594065035,0.9985464250936472
