gene,n_ptc_trig,n_ptc_evad,n_syn_trig,n_syn_evad,log_or,se,ci_lower,ci_upper,z,p_value,category,use_ai_filter
IPO13,12,3,90,50,0.6895891613883212,0.6297348566414374,-0.5446684774383901,1.9238468002150324,1.095046834577499,0.27349611869269486,Essential Genes,False
NUP85,14,4,54,6,-0.9563272721173524,0.6807220557341788,-2.2905179848384103,0.37786344060370536,-1.40487187694532,0.1600593806738554,Essential Genes,False
ATP2A2,11,4,75,44,0.40962617151014585,0.5872782025465401,-0.7414179543864916,1.5606702974067834,0.6974993618593978,0.48549033861342283,Essential Genes,False
CDC5L,21,6,72,4,-1.5832584068523294,0.660585427801453,-2.8779820540551615,-0.2885347596494974,-2.396750428058484,0.0165411858962461,Essential Genes,False
COPA,25,1,134,10,0.28302440217779995,0.8991970820777778,-1.4793694936981516,2.0454182980537516,0.31475235831928466,0.7529496869642225,Essential Genes,False
DIS3,16,2,55,7,-0.11441035117774422,0.7822770685360858,-1.6476452314400438,1.4188245290845556,-0.14625297836206042,0.8837216844554469,Essential Genes,False
RBM17,10,7,30,14,-0.4071057975656242,0.5747380542983991,-1.5335716845351124,0.7193600894038639,-0.7083327691996855,0.47873863197757416,Essential Genes,False
WDR70,20,1,61,8,0.6359887667199967,0.9216042403855899,-1.1703223524351536,2.4422998858751472,0.6900888026013264,0.4901383443613988,Essential Genes,False
PAFAH1B1,11,5,23,6,-0.5475993011177427,0.6820366917496652,-1.8843666530819332,0.7891680508464478,-0.8028883309972032,0.42203928120953915,Essential Genes,False
SNRNP70,1,14,16,46,-1.2325916096315885,0.9042917786080954,-3.004970927219124,0.5397877079559465,-1.3630463516198488,0.1728679029117005,Essential Genes,False
ABCF1,9,3,89,11,-1.0533627598004782,0.6993619590067041,-2.424087011610996,0.3173614920100394,-1.5061768033488088,0.1320217925728988,Essential Genes,False
SNRNP200,33,0,218,14,1.49205525428185,1.450307871642755,-1.3504959406328898,4.33460644919659,1.0287851865492585,0.30358062923551,Essential Genes,False
TTC27,18,4,77,16,-0.13322422014476135,0.5914267179362025,-1.2923992867944474,1.0259508465049247,-0.22525904918474163,0.8217777550066756,Essential Genes,False
ANAPC5,17,4,44,15,0.3034743189062007,0.6052711115770328,-0.8828352606673083,1.4897838984797098,0.501385764332117,0.6160996565842938,Essential Genes,False
DHX8,23,1,86,9,0.5426826977106104,0.9088694679063565,-1.2386687260339309,2.3240341214551514,0.5970964113919652,0.5504430136939098,Essential Genes,False
GTF2B,12,0,16,8,2.5555816074579365,1.502748521686044,-0.3897513728675177,5.500914587783391,1.7006049718755616,0.08901718992638806,Essential Genes,False
TUT1,3,7,27,65,0.10572408592178391,0.6860600782612077,-1.2389289587009142,1.450377130544482,0.15410324732746064,0.877528327870443,Essential Genes,False
GTF3C1,44,9,258,51,-0.069116495713094,0.3886142247638782,-0.8307863801302489,0.6925533887040609,-0.1778537462314694,0.8588378367646142,Essential Genes,False
SYMPK,21,0,180,22,1.6789846471310013,1.4479282573927506,-1.1589025895566312,4.5168718838186335,1.1595772363434003,0.2462209734790377,Essential Genes,False
WEE1,7,12,29,47,-0.03448617607116932,0.5179616491566016,-1.0496723537910795,0.9807000016487409,-0.06658055886439326,0.9469156231757124,Essential Genes,False
XPO1,12,6,81,10,-1.3953012956766753,0.5842552419401608,-2.540420527658126,-0.25018206369522455,-2.3881707779689574,0.016932471476194845,Essential Genes,False
CDC27,21,3,230,5,-1.920212803560029,0.7199878403371619,-3.3313630399276413,-0.5090625671924169,-2.6670072687072266,0.007653001667529187,Essential Genes,False
PRPF38A,8,4,16,5,-0.46262352194811296,0.76308159686235,-1.9582359690636317,1.0329889251674058,-0.6062569505677179,0.5443441404416527,Essential Genes,False
NUP88,10,0,44,13,1.8517229339956123,1.480467520557114,-1.0499400865776434,4.753385954568868,1.2507690363236008,0.2110187547830389,Essential Genes,False
SLU7,12,4,32,7,-0.44468582126144557,0.6828797744294279,-1.7831055849139603,0.8937339423910693,-0.6511919636703218,0.5149225773451307,Essential Genes,False
TELO2,15,1,156,19,0.25273337140652974,0.8881748833077884,-1.488057411849801,1.9935241546628601,0.28455361230807,0.7759861545200164,Essential Genes,False
GABPA,6,4,22,11,-0.3034434937158527,0.7123688245929569,-1.6996607336271794,1.0927737461954738,-0.4259640276779917,0.6701340582925835,Essential Genes,False
DYNC1I2,6,7,35,6,-1.840831363220452,0.6849778500872478,-3.183363279599134,-0.4982994468417701,-2.6874319556259807,0.007200377100477568,Essential Genes,False
FTSJ3,20,1,67,15,1.1436722040829148,0.8915032800380589,-0.6036421168910067,2.890986525056836,1.2828581001228516,0.1995417945669038,Essential Genes,False
MAK16,15,2,16,13,1.6238785965888947,0.7740776858380513,0.10671421111020352,3.141042982067586,2.0978238054114824,0.035920712795130566,Essential Genes,False
MASTL,2,10,40,33,-1.6248410605707952,0.7414716444554325,-3.078098779261131,-0.17158334188045954,-2.1913731600136184,0.028424799745352294,Essential Genes,False
